Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
82,0.21,0.21,0.21,0.21,0.21,0.359716667,0.470885,0.282398519,0.394695,0.343423571,0.231016667,0.219067857,0.199031746,0,0,0.369077778,0.477285,0.285426511,0.394184231,0.351076387,0.0571,0.08241,0.063121637,0.116379,0.132108319,0.85,0.85,0.709166667
83,0.21,0.21,0.21,0.21,0.21,0.443133333,0.54978,0.366831852,0.509134333,0.469969643,0.2173,0.224421429,0.180252381,0,0,0.469122222,0.537585,0.374714815,0.508008654,0.468220504,0.046766667,0.090565,0.054738402,0.1141875,0.09328,0.85,0.85,0.709166667
84,0.21,0.21,0.21,0.21,0.21,0.493833333,0.54948,0.431091111,0.572579333,0.542348214,0.209216667,0.219147619,0.182066667,0,0,0.514755556,0.540515,0.428797271,0.576070026,0.544230084,0.0467,0.09773,0.049392788,0.118549,0.075278403,0.85,0.85,0.709166667
85,0.21,0.21,0.21,0.21,0.21,0.492133333,0.530165,0.452888889,0.579895333,0.556376786,0.199333333,0.202917857,0.153763492,0,0,0.496366667,0.532535,0.451442495,0.584183538,0.562000756,0.050366667,0.09356,0.047758285,0.1264495,0.063327983,0.85,0.85,0.709166667
86,0.21,0.21,0.21,0.21,0.21,0.45035,0.48078,0.459807407,0.554536667,0.546781786,0.18905,0.197404762,0.126949206,0,0,0.4516,0.4876,0.458219298,0.560328897,0.552128319,0.051266667,0.08693,0.051077193,0.130212333,0.055619328,0.85,0.85,0.709166667
87,0.21,0.21,0.21,0.21,0.21,0.368166667,0.37141,0.398497778,0.486571333,0.488634286,0.192233333,0.201330952,0.121865079,0,0,0.369477778,0.389355,0.407022027,0.498069308,0.492702941,0.051588889,0.090635,0.059282651,0.1313855,0.053961681,0.85,0.85,0.709166667
88,0.21,0.21,0.21,0.21,0.21,0.236283333,0.213835,0.287061481,0.380837333,0.38019,0.192133333,0.204167857,0.119569841,0,0,0.236177778,0.229925,0.297798051,0.384698974,0.380601008,0.054366667,0.08812,0.078136647,0.1326105,0.053242689,0.85,0.85,0.709166667
89,0.21,0.21,0.21,0.21,0.21,0.077066667,0.030365,0.145237037,0.231087,0.228070714,0.189616667,0.205479762,0.121868254,0,0,0.066488889,0.027555,0.137719688,0.23478291,0.229133782,0.0475,0.090585,0.083765692,0.1357575,0.055237059,0.85,0.85,0.709166667
90,0.21,0.21,0.21,0.21,0.21,0,0,0.006484444,0.058369333,0.057048929,0.17625,0.214753571,0.136947619,0,0,0,0,0.004976608,0.060534615,0.053317227,0.075088889,0.102735,0.089067057,0.154272167,0.077778235,0.85,0.85,0.709166667
91,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.165566667,0.22794881,0.153731746,0,0,0,0,0,0,0,0.106044444,0.10893,0.100082456,0.187666333,0.109677059,0.85,0.85,0.709166667
92,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.1651,0.233391667,0.172628571,0,0,0,0,0,0,0,0.117933333,0.10486,0.113223392,0.2288785,0.131406639,0.85,0.85,0.709166667
93,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.151016667,0.243266667,0.182322222,0,0,0,0,0,0,0,0.133655556,0.09109,0.115699805,0.254782667,0.160483025,0.85,0.85,0.709166667
94,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.132666667,0.231815476,0.199155556,0,0,0,0,0,0,0,0.167144444,0.080195,0.117950877,0.268853333,0.172980672,0.85,0.85,0.709166667
95,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.116283333,0.242042857,0.218806349,0,0,0,0,0,0,0,0.168822222,0.076505,0.120813645,0.276308333,0.177046303,0.85,0.85,0.709166667
96,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.11155,0.234803571,0.222833333,0,0,0,0,0,0,0,0.1794,0.082805,0.134021053,0.270619333,0.167050924,0.85,0.85,0.709166667
97,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.117983333,0.223834524,0.225660317,0,0,0,0,0,0,0,0.171088889,0.07619,0.138047953,0.258006,0.166992605,0.85,0.85,0.709166667
98,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.126433333,0.217603571,0.244639683,0,0,0,0,0,0,0,0.1696,0.0754,0.148871345,0.236588833,0.165767899,0.85,0.85,0.709166667
99,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.160116667,0.210897619,0.24342381,0,0,0,0,0,0,0,0.180666667,0.076075,0.143513645,0.213239833,0.160758908,0.85,0.85,0.709166667
