Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
86,0.3,0.3,0.3,0.3,0.3,0.5707,0.42264,0.584751111,0.584491333,0.617806429,0.501666667,0.165509524,0.130011111,0,0,0.533933333,0.497795,0.593236842,0.59577941,0.612099496,0.125855556,0.148035,0.134658285,0.061911833,0.079030336
87,0.3,0.3,0.3,0.3,0.3,0.4722,0.35094,0.499125926,0.512342667,0.548986071,0.53695,0.177680952,0.137668254,0,0,0.4405,0.382835,0.517539571,0.517268872,0.540819916,0.132344444,0.150545,0.144511501,0.065892,0.081710336
88,0.3,0.3,0.3,0.3,0.3,0.332833333,0.23003,0.383980741,0.402106333,0.433071071,0.5112,0.20745119,0.15971746,0,0,0.308466667,0.257715,0.401935867,0.398522141,0.425515882,0.146066667,0.12552,0.153200975,0.074167667,0.088138655
89,0.3,0.3,0.3,0.3,0.3,0.16895,0.106115,0.257251111,0.252212,0.284061071,0.55125,0.226144048,0.168531746,0,0,0.1581,0.11629,0.269262573,0.248255936,0.283697059,0.156566667,0.11111,0.173767446,0.079797167,0.100580924
90,0.3,0.3,0.3,0.3,0.3,0.033916667,0.008035,0.103204444,0.093516333,0.123992143,0.5504,0.247333333,0.178369841,0,0,0.030755556,0.009815,0.108474074,0.093588295,0.120654286,0.168377778,0.12169,0.21120039,0.0942355,0.104190672
91,0.3,0.3,0.3,0.3,0.3,0,0,0.009227407,0.001374,0.010199286,0.576516667,0.249884524,0.179196825,0,0,0,0,0.010902144,0.001091667,0.01012437,0.254755556,0.13597,0.219635283,0.131279333,0.141455714
92,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.59525,0.264521429,0.189577778,0,0,0,0,0,0,0,0.393755556,0.13275,0.230646979,0.173536167,0.194934958
93,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.6483,0.270284524,0.210690476,0,0,0,0,0,0,0,0.475411111,0.132275,0.263440351,0.222786167,0.247974286
94,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.601416667,0.293139286,0.221503175,0,0,0,0,0,0,0,0.499544444,0.152775,0.307650682,0.269368333,0.278823445
95,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.676716667,0.288365476,0.252393651,0,0,0,0,0,0,0,0.479422222,0.166275,0.316522612,0.267882667,0.288119496
96,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0.61045,0.29667619,0.268365079,0,0,0,0,0,0,0,0.442755556,0.165565,0.336366667,0.253005833,0.297328571
97,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.583,0.368892857,0.308444444,0,0,0,0,0,0,0,0.3684,0.169135,0.232144639,0.286219667,0.318312269
98,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.573583333,0.358034524,0.301157143,0,0,0,0,0,0,0,0.365855556,0.166065,0.238775244,0.277211667,0.302240672
99,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.540416667,0.346590476,0.350128571,0,0,0,0,0,0,0,0.318044444,0.153385,0.212720468,0.2739585,0.290523109
100,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.546266667,0.356396429,0.31258254,0,0,0,0,0,0,0,0.315144444,0.147515,0.194649708,0.265381167,0.277334286
101,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.506583333,0.352013095,0.291396825,0,0,0,0,0,0,0,0.303044444,0.15023,0.201024756,0.25471,0.272284202
102,0.4,0.4,0.4,0.4,0.4,0.0033,0.025905,0.000355556,0,0,0.456883333,0.341725,0.24857619,0,0,0.006122222,0.026465,0.000448148,0,0,0.234455556,0.150305,0.188994542,0.250500167,0.254512521
103,0.4,0.4,0.4,0.4,0.4,0.07965,0.10593,0.042834074,0.018728,0.023025,0.397316667,0.342004762,0.238055556,0,0,0.0733,0.11901,0.041246394,0.018405756,0.023370588,0.201933333,0.13247,0.163209357,0.24347,0.234325294
104,0.4,0.4,0.4,0.4,0.4,0.207333333,0.213235,0.156545926,0.124297333,0.131930357,0.348316667,0.33010119,0.220222222,0,0,0.195833333,0.22513,0.162035478,0.120883487,0.130554034,0.165766667,0.10328,0.141208577,0.209235833,0.189707983
105,0.4,0.4,0.4,0.4,0.4,0.33435,0.3263,0.298686667,0.252831667,0.275735714,0.3356,0.286103571,0.19422381,0,0,0.322777778,0.35005,0.31298499,0.253556192,0.273264034,0.114777778,0.098255,0.114899415,0.182222167,0.143955798
106,0.4,0.4,0.4,0.4,0.4,0.43205,0.419425,0.421842963,0.369711333,0.395167143,0.315216667,0.29105119,0.19408254,0,0,0.424811111,0.43778,0.433968616,0.369448385,0.399489328,0.098833333,0.11139,0.09220039,0.170512,0.12340916
107,0.4,0.4,0.4,0.4,0.4,0.518816667,0.466995,0.508879259,0.447955667,0.478389286,0.3252,0.277359524,0.174803175,0,0,0.507555556,0.489315,0.52032885,0.45763,0.497022101,0.097,0.112595,0.083548538,0.173027833,0.119960756
108,0.4,0.4,0.4,0.4,0.4,0.539383333,0.463135,0.562014074,0.494777667,0.550926429,0.33835,0.258557143,0.191249206,0,0,0.545377778,0.50336,0.570514035,0.49955759,0.552963529,0.097211111,0.109785,0.093512281,0.177531,0.125776723
109,0.4,0.4,0.4,0.4,0.4,0.53555,0.404865,0.560725926,0.503315,0.562419643,0.401683333,0.272786905,0.18655873,0,0,0.520088889,0.471995,0.568510136,0.504076154,0.564437899,0.089322222,0.1262,0.084113255,0.184108,0.12323
110,0.4,0.4,0.4,0.4,0.4,0.48155,0.37115,0.520711111,0.483701,0.539575714,0.38645,0.289364286,0.203703175,0,0,0.465066667,0.43024,0.535105068,0.470135256,0.528997143,0.091744444,0.145635,0.108788109,0.187388167,0.122874286
111,0.4,0.4,0.4,0.4,0.4,0.4124,0.295065,0.472062222,0.424051,0.46841,0.423,0.311911905,0.216415873,0,0,0.377577778,0.34408,0.483636842,0.41366159,0.472220168,0.086766667,0.152825,0.108418713,0.208301667,0.132929832
